"","Class","Eccentricity","Aspect_Ratio","Elongation","Solidity","Stochastic_Convexity","Isoperimetric_Factor","Maximal_Indentation_Depth","Lobedness","Average_Intensity","Average_Contrast","Smoothness","X.Third_Moment","Uniformity","Entropy"
"1",1,0.74173,1.5257,0.36116,0.98152,0.99825,0.79867,0.0052423,0.0050016,0.02416,0.090476,0.0081195,0.002708,7.4846e-05,0.69659
"2",1,0.76722,1.5725,0.38998,0.97755,1,0.80812,0.0074573,0.010121,0.011897,0.057445,0.0032891,0.00092068,3.7886e-05,0.44348
"3",1,0.82301,1.7707,0.44462,0.97698,1,0.75493,0.007428,0.010042,0.0079379,0.045339,0.0020514,0.00055986,2.3504e-05,0.34214
"4",1,0.72997,1.4892,0.34284,0.98755,1,0.84482,0.0049451,0.0044506,0.010487,0.058528,0.0034138,0.0011248,2.4798e-05,0.34068
"5",1,0.82063,1.7529,0.44458,0.97964,0.99649,0.7677,0.0059279,0.0063954,0.018375,0.080587,0.0064523,0.0022713,4.1495e-05,0.53904
"6",1,0.77982,1.6215,0.39222,0.98512,0.99825,0.80816,0.0050987,0.0047314,0.024875,0.089686,0.0079794,0.0024664,0.00014676,0.66975
"7",1,0.83089,1.8199,0.45693,0.9824,1,0.77106,0.0060055,0.006564,0.0072447,0.040616,0.0016469,0.00038812,3.2863e-05,0.33696
"8",1,0.90631,2.3906,0.58336,0.97683,0.99825,0.66419,0.0084019,0.012848,0.0070096,0.042347,0.0017901,0.00045889,2.8251e-05,0.28082
"9",1,0.7459,1.4927,0.34116,0.98296,1,0.83088,0.0055665,0.0056395,0.0057679,0.036511,0.0013313,0.00030872,3.1839e-05,0.25026
"10",2,0.93361,2.7582,0.64257,0.98346,1,0.59851,0.0055336,0.0055731,0.029712,0.089889,0.0080153,0.0020648,0.00023883,0.91499
"11",2,0.89063,2.2927,0.56667,0.98732,1,0.66427,0.0028365,0.0014643,0.029272,0.091328,0.0082717,0.0022383,0.00020166,0.87177
"12",2,0.86755,2.009,0.51464,0.98691,1,0.70277,0.0054439,0.0053937,0.030348,0.092063,0.0084044,0.0022541,0.00019854,0.94545
"13",2,0.91852,2.5247,0.61648,0.9787,1,0.63037,0.0050494,0.0046404,0.02309,0.082029,0.0066839,0.0018929,0.00012452,0.71713
"14",2,0.85121,1.9548,0.4892,0.98622,1,0.70267,0.0039733,0.0028733,0.020258,0.070841,0.0049933,0.0012274,0.00014929,0.74174
"15",2,0.89084,2.2979,0.57815,0.97389,1,0.64598,0.015271,0.042443,0.028461,0.086477,0.0074228,0.0018832,0.00024345,0.91307
"16",2,0.93062,2.8973,0.65828,0.98182,1,0.5795,0.0064894,0.0076645,0.023606,0.072237,0.005191,0.0011217,0.00025558,0.90513
"17",2,0.84113,1.86,0.46549,0.99039,1,0.75976,0.0046759,0.0039793,0.062798,0.13234,0.017213,0.0044528,0.00065523,1.653
"18",3,0.66307,1.2065,0.32559,0.94952,0.99649,0.75954,0.013388,0.032621,0.021815,0.097143,0.0093485,0.0040284,3.6303e-05,0.5341
"19",3,0.61289,1.0991,0.33117,0.92405,0.98421,0.61661,0.025545,0.11877,0.054687,0.1606,0.025145,0.011672,0.00012121,1.1076
"20",3,0.70668,1.251,0.38111,0.94226,0.99825,0.6925,0.019432,0.068724,0.031587,0.11502,0.013056,0.0053112,8.6352e-05,0.72247
"21",3,0.66889,1.1435,0.3846,0.90355,0.99649,0.60571,0.028329,0.14606,0.057506,0.15931,0.024752,0.010304,0.00018533,1.1365
"22",3,0.50139,1.0066,0.29593,0.91585,0.99825,0.64029,0.021782,0.086347,0.054635,0.1598,0.024899,0.011106,0.00016162,1.0511
"23",3,0.56599,1.0427,0.35318,0.89086,0.99825,0.62068,0.032971,0.19785,0.026348,0.10589,0.011088,0.0046505,5.2046e-05,0.62671
"24",3,0.68605,1.1632,0.37528,0.91639,0.99825,0.61136,0.030339,0.16753,0.058401,0.16858,0.027633,0.012886,0.00015525,1.0815
"25",3,0.59571,1.084,0.32592,0.92056,0.99825,0.65698,0.024753,0.11151,0.042051,0.14722,0.021213,0.010881,6.468e-05,0.83221
"26",4,0.39432,1.1191,0.17272,0.96806,0.99298,0.73417,0.012499,0.028432,0.073063,0.13718,0.01847,0.0040597,0.00090977,1.8893
"27",4,0.62011,1.3298,0.2836,0.96952,0.99825,0.77871,0.0086562,0.013637,0.04722,0.1186,0.013872,0.0037549,0.00044188,1.2024
"28",4,0.64161,1.3004,0.31556,0.93324,0.97895,0.65487,0.017963,0.058729,0.030897,0.08221,0.0067132,0.0014678,0.00029878,1.2359
"29",4,0.74242,1.5529,0.38804,0.95593,0.99474,0.68188,0.012904,0.030306,0.020679,0.064242,0.0041101,0.00079505,0.00026812,0.87687
"30",4,0.39289,1.1286,0.17039,0.96405,1,0.79407,0.011761,0.025176,0.025409,0.078211,0.0060798,0.0015299,0.00015762,1.0326
"31",4,0.53017,1.2503,0.23254,0.97337,1,0.82703,0.0066263,0.0079913,0.048541,0.10941,0.011828,0.0027809,0.00048839,1.5452
